Soil Type,ID,Horizont,Top,Bottom,pH (H2O),pH (KCl),Y1,T-S,S,T,V,Humus,N,C/N,P2O5,K2O,As,Co
Eutricni kambisol,3,Bv,15,29,6,4.5,14.15,9.2,34.88,44.08,79.13,3.03,,,2.47,22.9,14.8,24
Eutricni kambisol,13,Amo,0,30,5.95,4.65,15.55,10.11,34.48,44.59,77.33,6.92,0.25,16.05,0.25,20.86,36.8,22.45
Eutricni kambisol,13,Br,30,67,6.4,4.95,11.5,7.48,36.88,44.36,83.15,3.63,,,0.06,10.15,22.8,28.23
Eutricni kambisol,22,Amo,0,32,7.05,5.9,11.35,7.38,29.68,37.06,80.09,4.3,0.11,22.67,0.8,7.33,66.2,17.25
Eutricni kambisol,22,Bv,32,55,6.95,5.35,9.4,6.11,28.08,34.19,82.13,0.93,,,0.1,12.71,46,21.15
Eutricni kambisol,22,BvC,55,88,7.3,6.05,11.75,7.64,17.28,24.92,69.35,1.38,,,0.05,5.61,33.1,20.15
Eutricni kambisol,23,Amo,0,27,6.05,4.9,5.7,3.71,25.68,29.39,87.39,5.13,0.17,17.5,4.25,39.74,24,19.9
Eutricni kambisol,23,Bv,27,77,6,4.6,4.1,2.67,27.28,29.95,91.1,1.2,,,0.08,8.35,3.7,18.15
Eutricni kambisol,23,Bvg,77,100,6.5,4.8,5.2,3.38,31.28,34.66,90.25,0.68,,,0.04,12.01,3.8,18.2
Eutricni kambisol,27,Amo,0,13,4.95,4,9.7,6.31,15.28,21.59,70.79,5.53,0.2,16.04,0.06,11.26,57.9,20.45
Eutricni kambisol,27,Amo,13,18,5,3.9,11.15,7.25,14.88,22.13,67.25,3.11,,,0.03,12.76,58.1,29
Eutricni kambisol,27,Btv,18,32,5,3.85,7.75,5.04,15.68,20.72,75.68,2.34,,,0.02,11.26,54.3,28.25
